product_code,product_name,group_code,group_name,forecast_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,model,order,seasonal_order,selected_features,forecast_exog_mode
S_мука,Мука,G01,"Хлеб, крупы, мука и макаронные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,114.81930984012163,102.01439358795358,127.62422609228969,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,113.47412035868933,99.50601848524342,127.44222223213525,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,117.025071,123.30682472691817,109.3387228531523,137.274926600684,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,110.672012,113.14789433137497,99.17979245728917,127.11599620546077,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_домашней_птицы,Мясо домашней птицы,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,139.24154,137.5825816017029,123.61447972729718,151.55068347610865,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q1,2025-03-31,2017Q1,2024Q4,94.208871,99.22633322977973,92.8557948036392,105.59687165592025,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,99.145193,101.37674821904281,94.97499335481976,107.77850308326586,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,101.458127,102.59247473721338,96.15965491661574,109.02529455781102,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,114.806348,109.90377713192586,103.44004165258079,116.36751261127094,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,134.500103,148.3889074562287,117.44610951736766,179.33170539508976,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,121.298853,144.5461088551133,112.96460011780641,176.12761759242017,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,146.218314,146.4684371057568,114.26088140893316,178.67599280258045,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,155.955701,146.3736962523913,113.55203276920687,179.19535973557575,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,117.72481,134.87096334447173,101.05598454977442,168.68594213916904,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,107.457736,134.54892820091376,87.4854849656677,181.61237143615983,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,129.634947,133.81224806407596,76.4843963039705,191.14009982418142,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,151.739909,154.57436133910818,88.55923060607071,220.58949207214565,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,2017Q1,2024Q4,133.490202,97.77279065496631,60.356721556250804,135.1888597536818,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,2017Q1,2024Q4,155.856136,116.37541476623551,78.95934566737978,153.79148386509124,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,2017Q1,2024Q4,198.713897,163.9927033539927,126.57663425499678,201.40877245298864,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,2017Q1,2024Q4,172.663824,154.65542164627462,117.23935254713848,192.07149074541076,SARIMAX_PPI_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
