product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,selected_features,future_exog_mode
Стиральные машины,2025Q1,2025-03-31,2017Q1,2024Q4,120.65094,141.47548464152538,102.2066062183938,180.74436306465697,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Стиральные машины,2025Q2,2025-06-30,2017Q1,2024Q4,107.642837,136.2918708672411,97.02299244066236,175.56074929381984,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Стиральные машины,2025Q3,2025-09-30,2017Q1,2024Q4,123.269423,144.87770889147438,105.6088304614485,184.14658732150025,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Стиральные машины,2025Q4,2025-12-31,2017Q1,2024Q4,146.997427,177.62875733163438,138.35987889816136,216.8976357651074,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Чай,2025Q1,2025-03-31,2017Q1,2024Q4,90.845517,96.15246358888348,82.36623451444227,109.93869266332469,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Чай,2025Q2,2025-06-30,2017Q1,2024Q4,81.935456,86.66136694484135,72.28561499420195,101.03711889548075,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Чай,2025Q3,2025-09-30,2017Q1,2024Q4,113.144637,118.53393955768743,103.59190568676958,133.4759734286053,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Чай,2025Q4,2025-12-31,2017Q1,2024Q4,99.476289,102.07064137415378,86.58301701620267,117.55826573210489,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
сыры,2025Q1,2025-03-31,2017Q1,2024Q4,126.734882,125.11160468700909,112.04258363882593,138.18062573519225,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
сыры,2025Q2,2025-06-30,2017Q1,2024Q4,116.898798,115.21627457986527,101.7276197892636,128.70492937046694,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
сыры,2025Q3,2025-09-30,2017Q1,2024Q4,143.770347,133.08061198291796,119.18499019178574,146.97623377405017,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
сыры,2025Q4,2025-12-31,2017Q1,2024Q4,162.427709,138.06995377083555,123.77894954214835,152.36095799952275,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
